Month,Fecha,Operacion,Clase,No_Factura,Cliente,Producto,KG,Precio_Unit_Venta,Ganancia_USD,Moneda_de_Venta,Ganancia_MXN,Moneda_MXN,Costo_Unit_Manufactura,Tipo_de_Cambio,Conversion_Ganancia_en_Dolares,lbs,Costo_Tot_Manufactura,Mes
1.0,01/04/2019,Venta,NAC,27973,Cliente 63,Producto 117,100.0,75.06,7506.0, MXP ,7506.0,MXP,55.9,19.61,382.82,220.45,5589.9,Enero
1.0,01/07/2019,Venta,NAC,27981,Cliente 6,Producto 125,200.0,264.7,2700.0, USD ,52939.72,MXP,237.35,19.61,2700.0,440.9,47469.14,Enero
1.0,01/07/2019,Venta,NAC,27982,Cliente 6,Producto 110,50.0,127.45,325.0, USD ,6372.38,MXP,121.44,19.61,325.0,110.225,6072.21,Enero
1.0,01/07/2019,Venta,NAC,27983,Cliente 6,Producto 107,300.0,169.01,2586.0, USD ,50704.47,MXP,128.33,19.61,2586.0,661.35,38499.81,Enero
1.0,01/07/2019,Venta,NAC,27984,Cliente 6,Producto 204,89.0,278.23,1262.91, USD ,24762.26,MXP,357.16,19.61,1262.91,196.2005,31787.04,Enero
1.0,01/07/2019,Venta,NAC,27985,Cliente 6,Producto 202,59.0,269.99,812.43, USD ,15929.56,MXP,350.82,19.61,812.43,130.0655,20698.59,Enero
1.0,01/07/2019,Venta,NAC,27986,Cliente 6,Producto 154,225.0,312.34,3584.25, USD ,70277.47,MXP,107.83,19.61,3584.25,496.0125,24262.02,Enero
1.0,01/07/2019,Venta,NAC,27986,Cliente 6,Producto 86,625.0,135.49,4318.75, USD ,84679.0,MXP,176.02,19.61,4318.75,1377.8125,110014.06,Enero
1.0,01/07/2019,Venta,NAC,27987,Cliente 65,Producto 44,47.0,610.57,1463.58, USD ,28696.85,MXP,109.65,19.61,1463.58,103.6115,5153.67,Enero
1.0,01/07/2019,Venta,NAC,27988,Cliente 65,Producto 107,100.0,218.62,1115.0, USD ,21862.14,MXP,118.19,19.61,1115.0,220.45,11818.55,Enero
1.0,01/07/2019,Venta,NAC,27989,Cliente 144,Producto 126,8000.0,97.06,39600.0, USD ,776448.81,MXP,83.6,19.61,39599.99,17636.0,668809.62,Enero
1.0,01/07/2019,Venta,NAC,27977,Cliente 5,Producto 221,136.0,227.25,1576.24, USD ,30905.81,MXP,99.62,19.61,1576.24,299.812,13548.59,Enero
1.0,01/07/2019,Venta,NAC,27978,Cliente 5,Producto 107,100.0,195.88,999.0, USD ,19587.69,MXP,113.07,19.61,999.0,220.45,11306.57,Enero
1.0,01/07/2019,Venta,NAC,27990,Cliente 6,Producto 179,100.0,387.05,1974.0, USD ,38704.81,MXP,163.46,19.61,1974.0,220.45,16345.83,Enero
1.0,01/07/2019,Venta,NAC,27990,Cliente 6,Producto 134,200.0,120.58,1230.0, USD ,24116.98,MXP,71.63,19.61,1230.0,440.9,14326.04,Enero
1.0,01/07/2019,Venta,NAC,27991,Cliente 6,Producto 170,226.0,367.05,4230.72, USD ,82953.01,MXP,253.36,19.61,4230.72,498.217,57258.84,Enero
1.0,01/07/2019,Venta,NAC,27992,Cliente 6,Producto 163,452.0,340.19,7842.2, USD ,153764.39,MXP,189.3,19.61,7842.2,996.434,85562.97,Enero
1.0,01/07/2019,Venta,NAC,27993,Cliente 6,Producto 118,25.0,181.96,232.0, USD ,4548.89,MXP,142.83,19.61,232.0,55.1125,3570.75,Enero
1.0,01/07/2019,Venta,NAC,27993,Cliente 6,Producto 118,150.0,181.96,1392.0, USD ,27293.36,MXP,142.83,19.61,1392.0,330.675,21424.49,Enero
1.0,01/07/2019,Venta,NAC,27993,Cliente 6,Producto 43,25.0,410.97,524.0, USD ,10274.23,MXP,229.65,19.61,524.0,55.1125,5741.23,Enero
1.0,01/07/2019,Venta,NAC,27993,Cliente 6,Producto 141,200.0,189.41,1932.0, USD ,37881.3,MXP,213.34,19.61,1932.0,440.9,42667.24,Enero
1.0,01/07/2019,Venta,NAC,27993,Cliente 6,Producto 159,50.0,240.78,614.0, USD ,12038.88,MXP,240.08,19.61,614.0,110.225,12003.84,Enero
1.0,01/07/2019,Venta,NAC,27993,Cliente 6,Producto 22,50.0,127.45,325.0, USD ,6372.38,MXP,130.65,19.61,325.0,110.225,6532.37,Enero
1.0,01/07/2019,Venta,NAC,27994,Cliente 6,Producto 233,125.0,193.92,1236.25, USD ,24239.53,MXP,71.37,19.61,1236.25,275.5625,8920.94,Enero
1.0,01/07/2019,Venta,NAC,27994,Cliente 6,Producto 235,25.0,438.22,558.75, USD ,10955.58,MXP,221.48,19.61,558.75,55.1125,5536.94,Enero
1.0,01/07/2019,Venta,NAC,27994,Cliente 6,Producto 235,50.0,438.22,1117.5, USD ,21911.16,MXP,221.48,19.61,1117.5,110.225,11073.87,Enero
1.0,01/07/2019,Venta,NAC,27996,Cliente 65,Producto 118,25.0,398.62,508.25, USD ,9965.41,MXP,220.72,19.61,508.25,55.1125,5518.1,Enero
1.0,01/07/2019,Cancelacion,NAC,1574,Cliente 13,Producto 92,9482.0,82.05,39919.22, USD ,778033.19,MXP,66.17,19.49,39919.2,-20903.068,-627382.25,Enero
1.0,01/07/2019,Venta,NAC,27997,Cliente 65,Producto 118,125.0,375.09,2391.25, USD ,46885.95,MXP,227.73,19.61,2391.25,275.5625,28466.79,Enero
1.0,01/07/2019,Venta,EXT,27980,Cliente 1,Producto 140,200.0,156.86,1600.0, USD ,31371.68,MXP,104.01,19.61,1600.0,440.9,20802.7,Enero
