Producto,KG,Precio_Unit_Venta,Ganancia_USD,Ganancia_MXN,Costo_Unit_Manufactura,lbs,Costo_Tot_Manufactura,pca1,pca2,cluster
192,75.0,78.17,302.25,5863.07,56.98,165.3375,4273.69,-0.7749288893632945,0.16789163082164887,0
193,100.0,75.96,398.0,7595.59,68.93,220.45,6893.1,-0.7738870580149514,0.1677171908503233,0
194,7072.0,3205.74,42149.12,810159.7600000001,2205.0,15590.224000000004,556942.6500000001,-0.4273880611709519,0.03921758622714884,0
195,27951.0,2765.8800000000006,403612.43999999994,7782121.01,1486.3999999999996,61617.978599999995,4262514.92,0.6778068209960216,0.5419554192965819,0
197,506.0,1499.88,7744.36,148444.05,1295.9,1115.477,131147.47,-0.6666769806914091,0.056763016360869466,0
198,338.0,1271.67,5676.969999999999,108753.02,1056.64,745.121,89287.12999999999,-0.6900232003472326,0.074659013056765,0
199,405.0,833.09,5872.5,112533.09,852.39,892.8225,115071.92,-0.7046424110542491,0.10450944123328156,0
200,50.0,495.42,1299.0,24771.15,379.82,110.225,18991.22,-0.7502899408398226,0.13468015806132708,0
201,80.0,373.88,7477.6,7477.6,350.28000000000003,176.36,7005.6,-0.7548095713206645,0.13907109710825644,0
202,853.0,3181.5400000000004,15824.970000000001,303728.64,3018.8999999999996,1880.4385000000002,285635.04000000004,-0.5316696757275194,-0.0907878712455607,0
203,384.0,1208.66,5989.27,115007.55,1084.92,846.528,105054.59,-0.6880090919465054,0.07672669384780607,0
204,191.0,629.8199999999999,3138.69,60624.36,714.32,421.0595,68217.14,-0.7256725875997126,0.11499849683934338,0
205,60.0,671.93,2131.8,40315.75,197.78,132.27,11866.69,-0.7518988131142333,0.13810446188394734,0
206,100.0,0.0,0.0,0.0,330.04,220.45,33004.08,-0.764327599275489,0.15712810066219202,0
