MONTH,Fecha de la,Ty,Clase,Invoice#, Cliente , Nombre del producto , KG , Precio uni / Venta , Foreign Amount , CurFrm , Revenue , SalesDiv , CurTo , Std RMCost , Std MfgCost , Exchange , SO Std. Cost , T.C. , Dollars , Lbs , COST PESOS , Mes ,,
1,01/04/2019,Cancelación,NAC,1564,Cliente 67,Producto 133,,113.7223,"-2,900.00 ", USD ,"-56,861.15 ",MCO,MXP, 63.04 , 16.68 , 19.6073 ,76.8328, 19.61 ,"-2,900.00 ",0.0000, -   ,Enero,,
1,01/04/2019,Cancelación,NAC,1565,Cliente 83,Producto 173,,76.0763,"-6,332.16 ", USD ,"-124,156.52 ",MAD,MXP, 57.10 , 2.00 , 19.6073 ,59.0968, 19.61 ,"-6,332.16 ",0.0000, -   ,Enero,,
1,01/04/2019,Cancelación,NAC,1565,Cliente 83,Producto 173,,76.0763,"-1,427.84 ", USD ,"-27,996.08 ",MAD,MXP, 57.10 , 2.00 , 19.6073 ,59.0968, 19.61 ,"-1,427.84 ",0.0000, -   ,Enero,,
1,01/04/2019,Cancelación,NAC,1566,Cliente 67,Producto 133,,113.7223,"-5,800.00 ", USD ,"-113,722.30 ",MCO,MXP, 63.04 , 16.68 , 19.6073 ,0, 19.61 ,"-5,800.00 ",0.0000, -   ,Enero,,
1,01/04/2019,Cancelación,NAC,1559,Cliente 6,Producto 163,,340.1867,"-2,359.60 ", USD ,"-46,265.39 ",MCO,MXP, 182.02 , 7.28 , 19.6073 ,189.2986, 19.61 ,"-2,359.60 ",0.0000, -   ,Enero,,
1,01/04/2019,Cancelación,NAC,1573,Cliente 95,Producto 106,,112.74,"-11,274.00 ", MXP ,"-11,274.00 ",MCO,MXP, 111.17 , 25.46 ,,133.3512, 19.61 ,-574.99 ,0.0000, -   ,Enero,,
1,01/04/2019,Venta,NAC,27969,Cliente 130,Producto 220,300,77.28," 23,184.00 ", MXP ," 23,184.00 ",MWH,MXP, 51.28 , 2.05 ,,53.3359, 19.61 ," 1,182.42 ",661.3500," 16,000.77 ",Enero,,
1,01/04/2019,Venta,NAC,27973,Cliente 63,Producto 117,100,75.06," 7,506.00 ", MXP ," 7,506.00 ",MAD,MXP, 53.75 , 2.15 ,,55.899, 19.61 , 382.82 ,220.4500," 5,589.90 ",Enero,,
1,01/07/2019,Venta,NAC,27981,Cliente 6,Producto 125,200,264.6986," 2,700.00 ", USD ," 52,939.72 ",MCO,MXP, 202.82 , 34.52 , 19.6073 ,237.3457, 19.61 ," 2,700.00 ",440.9000," 47,469.14 ",Enero,,
1,01/07/2019,Venta,NAC,27982,Cliente 6,Producto 110,50,127.4475, 325.00 , USD ," 6,372.38 ",MCO,MXP, 97.82 , 23.62 , 19.6073 ,121.4441, 19.61 , 325.00 ,110.2250," 6,072.21 ",Enero,,
1,01/07/2019,Venta,NAC,27983,Cliente 6,Producto 107,300,169.0149," 2,586.00 ", USD ," 50,704.47 ",MCO,MXP, 102.12 , 26.22 , 19.6073 ,128.3327, 19.61 ," 2,586.00 ",661.3500," 38,499.81 ",Enero,,
1,01/07/2019,Venta,NAC,27984,Cliente 6,Producto 204,89,278.2276," 1,262.91 ", USD ," 24,762.26 ",MCO,MXP, 345.08 , 12.08 , 19.6073 ,357.1578, 19.61 ," 1,262.91 ",196.2005," 31,787.04 ",Enero,,
1,01/07/2019,Venta,NAC,27985,Cliente 6,Producto 202,59,269.9925, 812.43 , USD ," 15,929.56 ",MCO,MXP, 338.96 , 11.86 , 19.6073 ,350.8236, 19.61 , 812.43 ,130.0655," 20,698.59 ",Enero,,
1,01/07/2019,Venta,NAC,27986,Cliente 6,Producto 154,225,312.3443," 3,584.25 ", USD ," 70,277.47 ",MCO,MXP, 89.24 , 18.59 , 19.6073 ,107.8312, 19.61 ," 3,584.25 ",496.0125," 24,262.02 ",Enero,,
1,01/07/2019,Venta,NAC,27986,Cliente 6,Producto 86,625,135.4864," 4,318.75 ", USD ," 84,679.00 ",MAD,MXP, 170.07 , 5.95 , 19.6073 ,176.0225, 19.61 ," 4,318.75 ","1,377.8125"," 110,014.06 ",Enero,,
1,01/07/2019,Venta,NAC,27987,Cliente 65,Producto 44,47,610.5713," 1,463.58 ", USD ," 28,696.85 ",MCO,MXP, 105.44 , 4.22 , 19.6073 ,109.6526, 19.61 ," 1,463.58 ",103.6115," 5,153.67 ",Enero,,
1,01/07/2019,Venta,NAC,27988,Cliente 65,Producto 107,100,218.6214," 1,115.00 ", USD ," 21,862.14 ",MCO,MXP, 92.51 , 25.68 , 19.6073 ,118.1855, 19.61 ," 1,115.00 ",220.4500," 11,818.55 ",Enero,,
1,01/07/2019,Venta,NAC,27989,Cliente 144,Producto 126,8000,97.0561," 39,600.00 ", USD ," 776,448.80 ",MCO,MXP, 67.11 , 16.49 , 19.6073 ,83.6012, 19.61 ," 39,599.99 ","17,636.0000"," 668,809.60 ",Enero,,
1,01/07/2019,Venta,NAC,27977,Cliente 5,Producto 221,136,227.2486," 1,576.24 ", USD ," 30,905.81 ",MWH,MXP, 95.79 , 3.83 , 19.6073 ,99.622, 19.61 ," 1,576.24 ",299.8120," 13,548.59 ",Enero,,
1,01/07/2019,Venta,NAC,27978,Cliente 5,Producto 107,100,195.8769, 999.00 , USD ," 19,587.69 ",MCO,MXP, 92.74 , 20.32 , 19.6073 ,113.0657, 19.61 , 999.00 ,220.4500," 11,306.57 ",Enero,,
1,01/07/2019,Venta,NAC,27990,Cliente 6,Producto 179,100,387.0481," 1,974.00 ", USD ," 38,704.81 ",MCO,MXP, 139.30 , 24.16 , 19.6073 ,163.4583, 19.61 ," 1,974.00 ",220.4500," 16,345.83 ",Enero,,
1,01/07/2019,Venta,NAC,27990,Cliente 6,Producto 134,200,120.5849," 1,230.00 ", USD ," 24,116.98 ",MCO,MXP, 51.66 , 19.97 , 19.6073 ,71.6302, 19.61 ," 1,230.00 ",440.9000," 14,326.04 ",Enero,,
1,01/07/2019,Venta,NAC,27991,Cliente 6,Producto 170,226,367.0487," 4,230.72 ", USD ," 82,953.01 ",MCO,MXP, 244.79 , 8.57 , 19.6073 ,253.3577, 19.61 ," 4,230.72 ",498.2170," 57,258.84 ",Enero,,
